geo_cod,geo_dsg,geo_nivel,periodo,valor_eur_m2
1111609,Viana do Castelo,5,1.º Trimestre de 2021,1044
1111609,Viana do Castelo,5,2.º Trimestre de 2021,1044
1111609,Viana do Castelo,5,3.º Trimestre de 2021,1077
1111609,Viana do Castelo,5,4.º Trimestre de 2021,1128
1111609,Viana do Castelo,5,1.º Trimestre de 2022,1129
1111609,Viana do Castelo,5,2.º Trimestre de 2022,1202
1111609,Viana do Castelo,5,3.º Trimestre de 2022,1263
1111609,Viana do Castelo,5,4.º Trimestre de 2022,1297
1111609,Viana do Castelo,5,1.º Trimestre de 2023,1319
1111609,Viana do Castelo,5,2.º Trimestre de 2023,1325
1111609,Viana do Castelo,5,3.º Trimestre de 2023,1319
1111609,Viana do Castelo,5,4.º Trimestre de 2023,1289
1111609,Viana do Castelo,5,1.º Trimestre de 2024,1342
1111609,Viana do Castelo,5,2.º Trimestre de 2024,1406
1111609,Viana do Castelo,5,3.º Trimestre de 2024,1460
1111609,Viana do Castelo,5,4.º Trimestre de 2024,1591
1111609,Viana do Castelo,5,1.º Trimestre de 2025,1627
1111609,Viana do Castelo,5,2.º Trimestre de 2025,1683
1111609,Viana do Castelo,5,3.º Trimestre de 2025,1698
1111609,Viana do Castelo,5,4.º Trimestre de 2025,1810
1111609,Viana do Castelo,5,1.º Trimestre de 2026,1857
1111602,Caminha,5,4.º Trimestre de 2019,967
1111602,Caminha,5,1.º Trimestre de 2020,946
1111602,Caminha,5,2.º Trimestre de 2020,938
1111602,Caminha,5,3.º Trimestre de 2020,964
1111602,Caminha,5,4.º Trimestre de 2020,978
1111602,Caminha,5,1.º Trimestre de 2021,1000
1111602,Caminha,5,2.º Trimestre de 2021,1000
1111602,Caminha,5,3.º Trimestre de 2021,1071
1111602,Caminha,5,4.º Trimestre de 2021,1111
1111602,Caminha,5,1.º Trimestre de 2022,1158
1111602,Caminha,5,2.º Trimestre de 2022,1174
1111602,Caminha,5,3.º Trimestre de 2022,1182
1111602,Caminha,5,4.º Trimestre de 2022,1201
1111602,Caminha,5,1.º Trimestre de 2023,1201
1111602,Caminha,5,2.º Trimestre de 2023,1280
1111602,Caminha,5,3.º Trimestre de 2023,1298
1111602,Caminha,5,4.º Trimestre de 2023,1318
1111602,Caminha,5,1.º Trimestre de 2024,1364
1111602,Caminha,5,2.º Trimestre de 2024,1334
1111602,Caminha,5,3.º Trimestre de 2024,1415
1111602,Caminha,5,4.º Trimestre de 2024,1425
1111602,Caminha,5,1.º Trimestre de 2025,1461
1111602,Caminha,5,2.º Trimestre de 2025,1490
1111602,Caminha,5,3.º Trimestre de 2025,1544
1111602,Caminha,5,4.º Trimestre de 2025,1606
1111602,Caminha,5,1.º Trimestre de 2026,1646
1111608,Valença,5,4.º Trimestre de 2019,627
1111608,Valença,5,1.º Trimestre de 2020,657
1111608,Valença,5,2.º Trimestre de 2020,659
1111608,Valença,5,3.º Trimestre de 2020,680
1111608,Valença,5,4.º Trimestre de 2020,682
1111608,Valença,5,1.º Trimestre de 2021,679
1111608,Valença,5,2.º Trimestre de 2021,696
1111608,Valença,5,3.º Trimestre de 2021,692
1111608,Valença,5,4.º Trimestre de 2021,703
1111608,Valença,5,1.º Trimestre de 2022,733
1111608,Valença,5,2.º Trimestre de 2022,733
1111608,Valença,5,3.º Trimestre de 2022,758
1111608,Valença,5,4.º Trimestre de 2022,841
1111608,Valença,5,1.º Trimestre de 2023,880
1111608,Valença,5,2.º Trimestre de 2023,942
1111608,Valença,5,3.º Trimestre de 2023,1036
1111608,Valença,5,4.º Trimestre de 2023,945
1111608,Valença,5,1.º Trimestre de 2024,943
1111608,Valença,5,2.º Trimestre de 2024,915
1111608,Valença,5,3.º Trimestre de 2024,868
1111608,Valença,5,4.º Trimestre de 2024,893
1111608,Valença,5,1.º Trimestre de 2025,917
1111608,Valença,5,2.º Trimestre de 2025,940
1111608,Valença,5,3.º Trimestre de 2025,970
1111608,Valença,5,4.º Trimestre de 2025,1012
1111608,Valença,5,1.º Trimestre de 2026,1181
1111607,Ponte de Lima,5,4.º Trimestre de 2019,902
1111607,Ponte de Lima,5,1.º Trimestre de 2020,908
